gene_id	gene_label	case_mean	control_mean	log2_fold_change	p_value	adjusted_p_value	neg_log10_adjusted_p	classification
147660	ZNF578 [147660]	122.666667	112.333333	0.125884	4.633572e-01	1.000000e+00	-0.000000	Not significant
83933	HDAC10 [83933]	573.666667	525.666667	0.125835	7.961319e-01	1.000000e+00	-0.000000	Not significant
112268260	LOC112268260 [112268260]	15.000000	13.666667	0.125531	5.896386e-01	1.000000e+00	-0.000000	Not significant
5724	PTAFR [5724]	3.000000	2.666667	0.125531	6.170751e-01	1.000000e+00	-0.000000	Not significant
81025	GJA9 [81025]	7.000000	6.333333	0.125531	6.463552e-01	1.000000e+00	-0.000000	Not significant
105372903	LOC105372903 [105372903]	3.000000	2.666667	0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
677802	SNORA14B [677802]	3.000000	2.666667	0.125531	6.170751e-01	1.000000e+00	-0.000000	Not significant
101928089	SMYD3-AS1 [101928089]	3.000000	2.666667	0.125531	8.501067e-01	1.000000e+00	-0.000000	Not significant
56920	SEMA3G [56920]	3.000000	2.666667	0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
112267939	LOC112267939 [112267939]	3.000000	2.666667	0.125531	8.025873e-01	1.000000e+00	-0.000000	Not significant
105375056	LOC105375056 [105375056]	3.000000	2.666667	0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
26799	SNORD50A [26799]	3.000000	2.666667	0.125531	8.414806e-01	1.000000e+00	-0.000000	Not significant
105375128	LOC105375128 [105375128]	3.000000	2.666667	0.125531	9.104200e-01	1.000000e+00	-0.000000	Not significant
56903	PAPOLB [56903]	3.000000	2.666667	0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
100189146	TRC-GCA16-1 [100189146]	3.000000	2.666667	0.125531	8.185458e-01	1.000000e+00	-0.000000	Not significant
83481	EPPK1 [83481]	7.000000	6.333333	0.125531	8.480828e-01	1.000000e+00	-0.000000	Not significant
102465669	MIR7113 [102465669]	3.000000	2.666667	0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
5555	PRH2 [5555]	7.000000	6.333333	0.125531	4.496918e-01	1.000000e+00	-0.000000	Not significant
2841	GPR18 [2841]	3.000000	2.666667	0.125531	8.927384e-01	1.000000e+00	-0.000000	Not significant
112543478	MAPK6-DT [112543478]	3.000000	2.666667	0.125531	8.414806e-01	1.000000e+00	-0.000000	Not significant
50615	IL21R [50615]	7.000000	6.333333	0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
100190938	RAMP2-AS1 [100190938]	3.000000	2.666667	0.125531	8.414806e-01	1.000000e+00	-0.000000	Not significant
3214	HOXB4 [3214]	15.000000	13.666667	0.125531	6.325851e-01	1.000000e+00	-0.000000	Not significant
102724596	ZNF652-AS1 [102724596]	7.000000	6.333333	0.125531	7.518296e-01	1.000000e+00	-0.000000	Not significant
256126	SYCE2 [256126]	31.000000	28.333333	0.125531	5.994263e-01	1.000000e+00	-0.000000	Not significant
101669766	ZNF350-AS1 [101669766]	7.000000	6.333333	0.125531	7.928490e-01	1.000000e+00	-0.000000	Not significant
128434	VSTM2L [128434]	3.000000	2.666667	0.125531	7.518296e-01	1.000000e+00	-0.000000	Not significant
164668	APOBEC3H [164668]	3.000000	2.666667	0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
107985693	LOC107985693 [107985693]	3.000000	2.666667	0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
105376845	LOC105376845 [105376845]	2.666667	3.000000	-0.125531	8.574624e-01	1.000000e+00	-0.000000	Not significant
107985522	LOC107985522 [107985522]	2.666667	3.000000	-0.125531	8.025873e-01	1.000000e+00	-0.000000	Not significant
376693	RPS10P7 [376693]	6.333333	7.000000	-0.125531	7.815113e-01	1.000000e+00	-0.000000	Not significant
105372924	LOC105372924 [105372924]	6.333333	7.000000	-0.125531	8.282625e-01	1.000000e+00	-0.000000	Not significant
284948	SH2D6 [284948]	6.333333	7.000000	-0.125531	7.423084e-01	1.000000e+00	-0.000000	Not significant
3694	ITGB6 [3694]	2.666667	3.000000	-0.125531	7.815113e-01	1.000000e+00	-0.000000	Not significant
107161151	AOX3P-AOX2P [107161151]	10.000000	11.000000	-0.125531	5.126908e-01	1.000000e+00	-0.000000	Not significant
100616477	MIR4442 [100616477]	6.333333	7.000000	-0.125531	5.790997e-01	1.000000e+00	-0.000000	Not significant
11280	SCN11A [11280]	2.666667	3.000000	-0.125531	7.518296e-01	1.000000e+00	-0.000000	Not significant
7123	CLEC3B [7123]	13.666667	15.000000	-0.125531	6.325851e-01	1.000000e+00	-0.000000	Not significant
151877	MAGI1-IT1 [151877]	2.666667	3.000000	-0.125531	8.501067e-01	1.000000e+00	-0.000000	Not significant
5522	PPP2R2C [5522]	2.666667	3.000000	-0.125531	8.311704e-01	1.000000e+00	-0.000000	Not significant
101927636	LOC101927636 [101927636]	2.666667	3.000000	-0.125531	8.864030e-01	1.000000e+00	-0.000000	Not significant
10788	IQGAP2 [10788]	2.666667	3.000000	-0.125531	8.574624e-01	1.000000e+00	-0.000000	Not significant
134187	POU5F2 [134187]	2.666667	3.000000	-0.125531	7.054570e-01	1.000000e+00	-0.000000	Not significant
105375231	LOC105375231 [105375231]	6.333333	7.000000	-0.125531	8.501067e-01	1.000000e+00	-0.000000	Not significant
5380	PMS2P2 [5380]	32.000000	35.000000	-0.125531	5.345608e-01	1.000000e+00	-0.000000	Not significant
23554	TSPAN12 [23554]	17.333333	19.000000	-0.125531	6.170751e-01	1.000000e+00	-0.000000	Not significant
107984124	LOC107984124 [107984124]	2.666667	3.000000	-0.125531	6.170751e-01	1.000000e+00	-0.000000	Not significant
